# y=sqrt(m0/m) temperature[K] pressure[bar] T_cv[meV/molecule] T_cv_error[meV/molecule]
0.5 2500 450 990.142 0.0386295
0.25 2500 450 974.712 0.0164747
1 2500 500 1050.4 0.0970067
0.707107 2500 500 1011.38 nan
0.5 2500 500 990.765 0.0198985
0.25 2500 500 974.866 0.00242111
1 2500 50 1038.01 0.0508383
0.707107 2500 50 1005.34 0.0231636
0.5 2500 50 987.822 0.0143176
0.25 2500 50 974.113 0.0043615
1 2500 550 1052.79 0.0756197
0.707107 2500 550 1012.58 0.0496723
0.5 2500 550 991.32 0.0235673
0.25 2500 550 975.017 nan
1 2500 600 1055.01 0.0798948
0.707107 2500 600 1013.73 0.0321041
0.5 2500 600 992.075 0.0195128
0.25 2500 600 975.19 0.00477289
1 2500 60 1036.66 0.0445371
0.707107 2500 60 1004.47 0.0267588
0.5 2500 60 987.356 0.020723
0.25 2500 60 974.01 0.00812074
1 2500 75 1035.42 0.0475912
0.707107 2500 75 1003.84 0.0391895
0.5 2500 75 987.042 0.0248817
0.25 2500 75 973.922 0.00441894
1 2625 100 1080.07 0.0537557
0.707107 2625 100 1050.15 0.0224632
0.5 2625 100 1034.4 0.0235924
0.25 2625 100 1022.09 0.00526878
1 2625 250 1084.09 0.0126299
0.707107 2625 250 1052.13 0.00956668
0.5 2625 250 1035.3 0.00987459
0.25 2625 250 1022.32 0.00661632
1 2625 400 1090.09 0.0670998
0.707107 2625 400 1055.12 0.0490112
0.5 2625 400 1036.78 0.0188652
0.25 2625 400 1022.71 0.0133944
1 2625 50 1083.41 0.0592455
0.707107 2625 50 1051.93 0.0337048
0.5 2625 50 1035.28 0.0314235
0.25 2625 50 1022.35 0.00639385
1 2625 600 1099.55 0.0537233
0.707107 2625 600 1060.07 0.0515872
0.5 2625 600 1039.3 0.0510546
0.25 2625 600 1023.34 0.0079151
1 2625 75 1080.77 0.0575594
0.707107 2625 75 1050.64 0.0361001
0.5 2625 75 1034.61 0.00929129
0.25 2625 75 1022.16 0.00636854
1 2750 100 1125.5 0.0315501
0.707107 2750 100 1097.08 0.0245814
0.5 2750 100 1081.99 0.0112417
0.25 2750 100 1070.36 0.00718432
1 2750 125 1125.73 0.0521804
0.707107 2750 125 1097.13 0.0240005
0.5 2750 125 1082.02 0.0116407
0.25 2750 125 1070.36 0.00511758
1 2750 150 1126.26 0.0467222
0.707107 2750 150 1097.3 0.0206541
0.5 2750 150 1082.12 0.0114697
0.25 2750 150 1070.38 0.00261453
1 2750 200 1127.67 0.0413329
0.707107 2750 200 1098.05 0.0129532
0.5 2750 200 1082.46 0.00399539
0.25 2750 200 1070.47 0.00861807
1 2750 250 1129.28 0.0411339
0.707107 2750 250 1098.81 0.0164528
0.5 2750 250 1082.87 0.0246152
0.25 2750 250 1070.56 nan
1 2750 300 1131.02 0.0104344
0.707107 2750 300 1099.63 0.0371894
0.5 2750 300 1083.32 0.0247256
0.25 2750 300 1070.67 0.00685369
1 2750 400 1135.2 0.0133235
0.707107 2750 400 1101.77 0.00933103
0.5 2750 400 1084.36 0.00999081
0.25 2750 400 1070.94 0.00499423
1 2750 50 1128.64 0.0513974
0.707107 2750 50 1098.68 0.0226192
0.5 2750 50 1082.87 0.0218096
0.25 2750 50 1070.59 0.00362111
1 2750 600 1144.38 0.0990502
0.707107 2750 600 1106.48 0.0857433
0.5 2750 600 1086.76 0.0325348
0.25 2750 600 1071.55 0.0204901
1 2750 75 1126.42 0.0507506
0.707107 2750 75 1097.43 0.0197726
0.5 2750 75 1082.25 0.0179163
0.25 2750 75 1070.41 0.00813693
1 2875 100 1171.47 0.0523985
0.707107 2875 100 1144.09 0.0221198
0.5 2875 100 1129.74 0.00702653
0.25 2875 100 1118.64 0.00310997
1 2875 250 1175 0.0440487
0.707107 2875 250 1145.77 0.0324718
0.5 2875 250 1130.52 nan
0.25 2875 250 1118.84 0.00527005
1 2875 400 1180.69 0.0175179
0.707107 2875 400 1148.66 nan
0.5 2875 400 1132.04 0.0238944
0.25 2875 400 1119.21 0.00764822
1 2875 50 1174.17 0.0597401
0.707107 2875 50 1145.61 0.0377468
0.5 2875 50 1130.5 0.0102873
