# y=sqrt(m0/m) temperature[K] pressure[bar] T_cv[meV/molecule] T_cv_error[meV/molecule]
0.5 4500 200 1754.06 0.0151941
0.25 4500 200 1747.28 0.00631842
1 4500 225 1781 0.0784349
0.707107 4500 225 1763.31 0.0220351
0.5 4500 225 1754.2 0.0199553
0.25 4500 225 1747.35 0.00530389
1 4750 100 1873.56 0.0474348
0.707107 4750 100 1858 0.0211517
0.5 4750 100 1850.03 0.0103947
0.25 4750 100 1843.99 0.00406603
1 4750 150 1874.28 0.0331006
0.707107 4750 150 1858.27 0.0220048
0.5 4750 150 1850.17 0.0109172
0.25 4750 150 1844.03 0.00627033
1 4750 200 1875.22 0.0505918
0.707107 4750 200 1858.8 0.0348383
0.5 4750 200 1850.44 0.0142231
0.25 4750 200 1844.08 0.00586062
1 4750 225 1875.71 nan
0.707107 4750 225 1859.09 0.0210006
0.5 4750 225 1850.59 0.0152892
0.25 4750 225 1844.13 0.00856746
1 5000 150 1969.23 0.0311811
0.707107 5000 150 1954.22 0.0204755
0.5 5000 150 1946.6 0.00725804
0.25 5000 150 1940.84 0.00474748
1 5000 175 1969.64 0.0286217
0.707107 5000 175 1954.46 0.0146628
0.5 5000 175 1950.48 3.72986
0.25 5000 175 1940.86 0.00402417
1 5000 200 1970.19 0.0278321
0.707107 5000 200 1954.72 0.024254
0.5 5000 200 1946.86 0.0161872
0.25 5000 200 1940.89 0.00504357
1 5000 225 1970.75 0.052744
0.707107 5000 225 1954.96 0.036391
0.5 5000 225 1947 0.0170572
0.25 5000 225 1940.92 0.00303359
1 5000 250 1971.47 0.0773504
0.707107 5000 250 1955.41 0.035759
0.5 5000 250 1947.18 0.0159786
0.25 5000 250 1940.95 0.00572767
1 500 10 413.881 0.1852
0.707107 500 10 331.363 0.132352
0.5 500 10 275.593 0.0681465
0.25 500 10 218.752 0.0422784
1 500 15 412.826 0.257056
0.707107 500 15 331.128 0.123101
0.5 500 15 275.707 0.104423
0.25 500 15 218.661 0.0314589
1 5250 150 2064.19 0.0160763
0.707107 5250 150 2050.19 0.0151716
0.5 5250 150 2043.06 0.0132585
0.25 5250 150 2037.66 0.00332391
1 5250 175 2064.69 0.0352913
0.707107 5250 175 2050.4 0.0234807
0.5 5250 175 2043.22 0.0236125
0.25 5250 175 2037.69 0.00349574
1 5250 200 2065.17 nan
0.707107 5250 200 2050.65 0.0402286
0.5 5250 200 2043.32 0.0138857
0.25 5250 200 2037.72 0.00248118
1 5250 225 2065.75 0.0257054
0.707107 5250 225 2050.93 0.025282
0.5 5250 225 2043.44 0.0155181
0.25 5250 225 2037.75 0.00601809
1 5250 250 2066.36 0.100376
0.707107 5250 250 2051.36 0.0349323
0.5 5250 250 2043.59 0.0230036
0.25 5250 250 2037.79 0.00612075
1 5500 150 2159.55 0.0314709
0.707107 5500 150 2146.33 0.0278267
0.5 5500 150 2139.55 0.0309213
0.25 5500 150 2134.5 0.00338068
1 5500 175 2160.24 nan
0.707107 5500 175 2146.54 0.0130715
0.5 5500 175 2139.7 0.0108088
0.25 5500 175 2134.53 0.00406258
1 5500 200 2160.39 nan
0.707107 5500 200 2146.77 0.0141699
0.5 5500 200 2139.81 0.0130582
0.25 5500 200 2134.55 0.00323437
1 5500 225 2161.09 0.0567253
0.707107 5500 225 2147.1 0.018914
0.5 5500 225 2139.95 0.00868506
0.25 5500 225 2134.59 0.00277531
1 5500 250 2161.65 0.028937
0.707107 5500 250 2147.33 0.0185981
0.5 5500 250 2140.1 0.0216757
