# y=sqrt(m0/m) temperature[K] pressure[bar] T_cv[meV/molecule] T_cv_error[meV/molecule]
0.5 2750 150 1081.83 0.00752806
0.25 2750 150 1070.31 0.00644458
1 2750 200 1126.36 0.0336863
0.707107 2750 200 1097.33 0.0178332
0.5 2750 200 1082.08 0.0173415
0.25 2750 200 1070.38 0.0048278
1 2750 250 1128.19 0.055176
0.707107 2750 250 1098.17 0.0188343
0.5 2750 250 1082.54 0.0190349
0.25 2750 250 1070.48 0.00746951
1 2750 300 1130.25 0.0581108
0.707107 2750 300 1099.29 0.0247695
0.5 2750 300 1083.08 0.0175467
0.25 2750 300 1070.62 0.00630791
1 2750 400 1135.5 0.0628874
0.707107 2750 400 1101.93 0.0672909
0.5 2750 400 1084.38 0.022009
0.25 2750 400 1070.94 0.00759833
1 2750 50 1128.63 0.0444245
0.707107 2750 50 1098.8 0.0292486
0.5 2750 50 1082.92 0.0200733
0.25 2750 50 1070.59 0.00943056
1 2750 600 1145.92 0.0367152
0.707107 2750 600 1107.25 0.0367119
0.5 2750 600 1087.14 0.0125025
0.25 2750 600 1071.64 0.00760887
1 2750 75 1126.33 0.0694471
0.707107 2750 75 1097.46 0.0349233
0.5 2750 75 1082.22 0.0119033
0.25 2750 75 1070.41 0.00398175
1 2875 100 1171.21 0.0337663
0.707107 2875 100 1143.98 0.029284
0.5 2875 100 1129.66 0.0192616
0.25 2875 100 1118.61 0.0073945
1 2875 250 1173.98 0.0341048
0.707107 2875 250 1145.29 0.0170459
0.5 2875 250 1130.26 0.0201939
0.25 2875 250 1118.76 0.00559145
1 2875 400 1181.06 0.0486764
0.707107 2875 400 1148.76 0.0366919
0.5 2875 400 1132.06 0.0190202
0.25 2875 400 1119.21 0.00863229
1 2875 50 1174.33 0.0662397
0.707107 2875 50 1145.64 0.0297111
0.5 2875 50 1130.54 0.0206178
0.25 2875 50 1118.85 0.00814142
1 2875 600 1191.12 0.0869438
0.707107 2875 600 1154 0.0242282
0.5 2875 600 1134.66 nan
0.25 2875 600 1119.87 0.00398273
1 2875 75 1171.93 0.0438073
0.707107 2875 75 1144.41 0.0322851
0.5 2875 75 1129.88 0.0140619
0.25 2875 75 1118.67 0.00401578
1 2875 85 1171.63 0.0367398
0.707107 2875 85 1144.23 0.0370662
0.5 2875 85 1129.77 0.0140528
0.25 2875 85 1118.65 0.0017566
1 3000 100 1217.08 0.0320125
0.707107 3000 100 1191.13 0.025381
