# y=sqrt(m0/m) temperature[K] pressure[bar] T_cv[meV/molecule] T_cv_error[meV/molecule]
1 2250 40 951.034 0.0901773
0.707107 2250 40 913.829 0.024989
0.5 2250 40 893.711 0.0274593
0.25 2250 40 877.923 0.00697319
1 2250 50 949.837 0.0829795
0.707107 2250 50 913.193 0.0501217
0.5 2250 50 893.382 0.016521
0.25 2250 50 877.848 0.014588
1 2250 600 969.686 0.064449
0.707107 2250 600 922.902 0.0465885
0.5 2250 600 898.282 0.020764
0.25 2250 600 879.049 0.0239013
1 2250 75 945.907 0.0548992
0.707107 2250 75 911.027 0.0392149
0.5 2250 75 892.338 0.0271456
0.25 2250 75 877.549 0.0081975
1 2375 100 989.032 0.0299462
0.707107 2375 100 956.541 0.0317008
0.5 2375 100 939.175 0.0208256
0.25 2375 100 925.614 0.00620063
1 2375 250 992.221 0.042878
0.707107 2375 250 957.89 0.0224166
0.5 2375 250 939.812 0.0184662
0.25 2375 250 925.766 0.00723024
1 2375 400 1000.57 0.0414256
0.707107 2375 400 962.25 0.0262261
0.5 2375 400 941.942 0.020665
0.25 2375 400 926.297 0.0101178
1 2375 40 995.126 0.0795839
0.707107 2375 40 959.924 0.0463244
0.5 2375 40 940.993 0.0246549
0.25 2375 40 926.073 0.0118362
1 2375 50 993.959 0.0890161
0.707107 2375 50 959.332 0.0545467
0.5 2375 50 940.656 0.0181859
0.25 2375 50 926.008 0.013457
1 2375 600 1012.7 0.0587115
0.707107 2375 600 968.558 0.0253462
0.5 2375 600 945.24 0.0193339
0.25 2375 600 927.117 0.0126445
1 2375 75 990.341 0.0635741
0.707107 2375 75 957.284 0.0407976
0.5 2375 75 939.623 0.0118965
0.25 2375 75 925.747 0.00652109
1 2500 100 1034.24 0.0564369
0.707107 2500 100 1003.2 0.0265969
0.5 2500 100 986.69 0.0169061
0.25 2500 100 973.841 0.00313049
1 2500 125 1033.99 0.0376536
0.707107 2500 125 1002.99 0.0299147
0.5 2500 125 986.579 0.0136225
0.25 2500 125 973.812 0.00755706
1 2500 150 1034.13 0.056617
0.707107 2500 150 1003.03 0.0277843
0.5 2500 150 986.58 0.0181343
0.25 2500 150 973.808 0.00584932
1 2500 175 1034.57 0.0538393
0.707107 2500 175 1003.27 0.0236791
0.5 2500 175 986.721 0.013409
0.25 2500 175 973.835 0.00685345
1 2500 200 1035.37 0.0454843
0.707107 2500 200 1003.59 0.0294889
0.5 2500 200 986.849 0.0207944
0.25 2500 200 973.856 0.010151
1 2500 225 1036.25 0.0356314
0.707107 2500 225 1004 0.0352716
0.5 2500 225 987.059 0.0156389
0.25 2500 225 973.908 nan
1 2500 250 1037.45 0.0431791
0.707107 2500 250 1004.56 0.0186942
0.5 2500 250 987.331 0.00907924
0.25 2500 250 973.975 0.0074384
1 2500 300 1039.67 0.038273
0.707107 2500 300 1005.72 0.0213635
0.5 2500 300 987.897 0.0140582
0.25 2500 300 974.127 0.00248512
1 2500 350 1042.45 0.0805327
0.707107 2500 350 1007.16 0.0443097
0.5 2500 350 988.603 0.0119417
0.25 2500 350 974.284 0.0133634
